tcp_port,totalDifficulty,forkID,ip,is_dyndial,version,is_inbound,caps,head,last_time,udp_port,networkID,fullname,id,is_eth_handshake_complete,is_eth_handshake
46782,17179869184,{[252 100 236 4] 1150000},95.91.254.136,False,68,True,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T04:55:34+08:00,46782,1,CoreGeth/ETCMCgethNode/v1.12.17-stable-b61f3122/windows-amd64/go1.20.7,aee64d2a91f1f193ea181cf51417ca2faad237fc3baac87c42603f14571d07b5,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},157.90.35.166,True,68,False,[eth/67 eth/68 snap/1],0xedd70962f589c5638c0e02811a05f2d672d798def3af282a6874894c6f0c7ae9,2024-01-24T18:11:25+08:00,30303,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.4,6b36f791352f15eb3ec4f67787074ab8ad9d487e37c4401d383f0561a0a20507,True,True
43938,58750003716598352816469,{[220 233 108 45] 0},107.138.145.122,False,68,True,[eth/63 eth/64 eth/65 eth/66 eth/67 eth/68 snap/1],0x2c6eebfecc184243f7a9dcdaf358b05bb03b7504ff8b5dc2edaf1410b4db8dd4,2024-01-24T15:09:01+08:00,43938,1,besu/v23.4.0/linux-x86_64/openjdk-java-17,dbb5fd68ed99bf4f99dd158c3787a4f8de415ca3f90607f1cdda3a19c34d39df,True,True
44766,58750003716598352816469,{[220 233 108 45] 0},35.246.178.96,False,68,True,[eth/63 eth/64 eth/65 eth/66 eth/67 eth/68 snap/1],0x425a5efd4c42bdff641c8dd52d485899750983d77cd40ab64c7707e649edf54b,2024-01-24T17:46:46+08:00,44766,1,besu/v23.10.3-hotfix/linux-x86_64/openjdk-java-17,95e0131c87b98ad2d96314b44a6b1962df56e9a79e4123c6257723e1507a067d,True,True
5731,17179869184,{[252 100 236 4] 1150000},202.142.137.253,False,68,True,[eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T13:25:33+08:00,5731,1,Geth/v1.13.9-stable-dd938d10/linux-amd64/go1.21.5,d207cdeb17eac62dff5efa4f30a985fb93323463f8ef63ca03742198226d36b7,True,True
35353,58750003716598352816469,{[220 233 108 45] 0},60.96.63.223,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x53fb8c3a87cfb46031265a51831352d2d4251f1c2db764d36fec37015f8e1aa1,2024-01-24T07:30:17+08:00,35353,1,Nethermind/v1.22.0+ae444a4b/linux-x64/dotnet7.0.14,6c61a3069f4f71be0ad732b43bb00813cda0f6ecbe1d9bc54e095e9a0bb45bc1,True,True
30306,17179869184,{[252 100 236 4] 1150000},35.178.174.46,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T17:41:19+08:00,30306,1,Nodecrawler/v1.13.10-stable/linux-amd64/go1.21.5,365c2460f2d647a691579797f197168d4a30aa0686a50f96c9e9f8dffb3455f5,True,True
30304,58750003716598352816469,{[220 233 108 45] 0},184.176.129.74,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x7b7a63af106407fd838ed0503839c9585e1860ba877f3c5fa37e90ca9615b576,2024-01-24T15:41:25+08:00,30304,1,Geth/v1.13.1-stable-3f40e65c/linux-amd64/go1.21.1,f6c260ad8915ece37906b29e7898b7b3e4ea6c4e6f568eceb84095a9303338bb,True,True
30304,17179869184,{[252 100 236 4] 1150000},49.13.11.197,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:11:23+08:00,30304,1,Nodecrawler/v1.13.10-stable/linux-arm64/go1.21.5,1598a498610ea7afe8f1df8fb8a318cecfdf668f9eb96c7234340196c6b68ad2,True,True
40838,30592066672334054016,{[151 194 195 76] 2500000},206.204.158.248,False,68,True,[eth/66 eth/67 eth/68 snap/1],0xa6d25dda38925c5260730d85a5ee6233389d2b2d5e5449841a3c634ff2276cb9,2024-01-24T04:58:49+08:00,40838,1,CoreGeth/ETCMCgethNode/v1.12.17-stable-b61f3122/windows-amd64/go1.20.7,5fd134e1b258e8feb3ddc35fc091b0d73a3a71b72964d85c42f4225f747375be,True,True
17630,58750003716598352816469,{[220 233 108 45] 0},101.83.123.116,False,68,True,[eth/66 eth/67 eth/68 snap/1],0xec4ad1d7491905a81a4513d6e4f8eea994fee9028d06e714ef6d1001ff2d610c,2024-01-24T12:26:13+08:00,17630,1,Geth/v1.11.5-stable-4f87ef24/linux-amd64/go1.19.7,83a543e5e21b212ed1caa7bd68350621e684428ff2980d84e1b74b763307fcbd,True,True
30000,0,{[220 233 108 45] 0},135.125.160.96,True,68,False,[eth/67 eth/68],0xdd38a034a75f61eb89377c7ac54c87ecf3a9dbabe08a9cad10abc4f9c33a0658,2024-01-24T17:58:35+08:00,30000,1,Geth/v1.13.4-stable-ff3ef6df/linux-amd64/go1.21.4,46f387a2fea7c301c28b026976aeb400d3d5a5f70ee732b66ce6080ae6c44f9f,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},3.69.96.107,True,68,False,[eth/67 eth/68 les/2 les/3 les/4 snap/1],0xa2dec8f643e93c4d503d542a3a7f9535b99b4f5dd832d8507b6f54cf5b539928,2024-01-24T18:10:27+08:00,30303,1,Geth/v1.13.4-stable-3f907d6a/linux-amd64/go1.21.3,2662b8c92a4eb07b5667a426ac35dd9621186ca0d1b7fd6ce4f96a0f1a1980ed,True,True
60222,58750003716598352816469,{[220 233 108 45] 0},188.241.26.108,False,68,True,[eth/67 eth/68 snap/1],0x41a5787ffc6d0e29ccf01debc750b51924186c20d569d812b3f279992be0ed49,2024-01-24T05:04:29+08:00,60222,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.4,aea2701f99bae15b86510f37b88dcf85ee15c03216e7b347a0290c9742be156b,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},47.7.244.78,True,68,False,[eth/63 eth/64 eth/65 eth/66 eth/67 eth/68 snap/1],0xcc9bf654f03fbcb31226e605fc5eac310ab95d4efcde63d6bdcd8090b3a1f491,2024-01-24T17:01:05+08:00,30303,1,besu/v23.4.4/linux-x86_64/openjdk-java-17,a6b689f62bc9125c11f74898e3ed5934a53a6338cc3e571897a979e03c35b340,True,True
55442,58750003716598352816469,{[220 233 108 45] 0},23.88.77.252,False,68,True,[eth/67 eth/68 snap/1],0x26ffa318ef7efd52cb5167882174f445d70bcdeeb561017a2056815e5900a8d5,2024-01-24T10:12:30+08:00,55442,1,Geth/v1.13.8-stable/linux-amd64/go1.21.5,130977481e546c8beeee13eaa2b060c819c546963769847dc85d56f1a885a7ef,True,True
31687,58750003716598352816469,{[220 233 108 45] 0},57.128.92.154,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x004f17387078f21d6b72209c493d8a5aedb56569df91b08ab2e5ab976d5f3e7c,2024-01-24T08:21:28+08:00,31687,1,Geth/v1.11.5-stable-193fe45b/linux-amd64/go1.20.13,a21b14f7b2db49b71d51aab61e89aefc2738dd1af6d7c8bc86dbfb14b76833a3,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},131.153.172.82,True,68,False,[eth/68],0xedd70962f589c5638c0e02811a05f2d672d798def3af282a6874894c6f0c7ae9,2024-01-24T18:11:20+08:00,30303,1,erigon/v2.55.1-12889fd0/linux-amd64/go1.21.5,57d519e72e9e10004dd0d2db138d6d2a7070f81741ee1321c694f26a17e54bdf,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},135.181.79.230,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x3af7143cf2c9db7ba1ec344739360b253cb1025db172a7cd8d79d0d62945e919,2024-01-24T17:41:19+08:00,30303,1,Geth/v1.12.2-stable-bed84606/windows-amd64/go1.20.7,5135ca5f68c51bf71d04a8f0321f489320966ab68ba3d568e39e39be7d4ce99a,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},75.164.48.193,True,68,False,[eth/67 eth/68 snap/1],0x4fba92a54d38a974393dae5a326fe26131af80b8e1ca5d7cba5121b20b379679,2024-01-24T04:14:14+08:00,64830,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.6,bd27827302913e06f790a19342d838743d58c1eabe4c327834c8e7555de85278,True,True
10344,58750003716598352816469,{[220 233 108 45] 0},45.153.35.150,False,68,True,[eth/68],0xca0d51a81e48ce020a14ba0a5480d7fe42fe6bde2c2d8d816ac1a43f4a8ad24a,2024-01-24T11:04:50+08:00,10344,1,erigon/v2.52.5-7c5e4e77/linux-amd64/go1.20.10,568b2477d23e877700d0baa6d8912698a05826425e57b2676318b7d2f382e854,True,True
50020,58750003716598352816469,{[220 233 108 45] 0},3.221.86.153,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x0d37d5fa4580d8d00607626e40a7061997c58b50b8dbe4fa2c5d3d6afcc6c0bb,2024-01-24T04:14:26+08:00,50020,1,Geth/v1.11.5-stable-f0d07607/linux-amd64/go1.21.4,d8a1fb04b7266233e7a6648859969dcc089f0946433ce0ab13af16b1bcae00cc,True,True
30303,17179869184,{[252 100 236 4] 1150000},46.250.241.10,True,68,False,[eth/66 eth/67 eth/68],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:00:38+08:00,30303,1,reth/v0.1.0-alpha.10,f9fce25b6f5880db5250dac0ab4ea9a5ec3818de025386c6f4620a3bc53798b1,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},199.19.77.106,True,68,False,[eth/67 eth/68 snap/1],0x537b767cfabe0230e1fe9bb5768860857b1eca1222c3e1ae4a599402851131f1,2024-01-24T17:11:26+08:00,26564,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.6,ce36c40a7ccd8eb7a1205fe7350117e6394f55b0b0b51bdc990174d88d5e8c00,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},46.114.187.69,True,68,False,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x090be344fc485a210d96fadb88ed9c407771b17e37c13b5e357f550c792f14ea,2024-01-24T18:04:09+08:00,30303,1,Nethermind/v1.25.2+78c7bf5f/linux-x64/dotnet8.0.1,2b1e0cdfcfee55edc8547632feaddf4e5e9bf5e8105677835cfe2fc8771ef591,True,True
15397,42975432233299711953,{[151 194 195 76] 2500000},107.107.188.188,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x5e8a3dfe6f917a05b45b52c76a4a01f6f837a1f1c1708c432998070edcb6b54b,2024-01-24T05:03:38+08:00,15397,1,CoreGeth/ETCMCgethNode/v1.12.17-stable-b61f3122/windows-amd64/go1.20.7,7aa7eb7f42713ed5a54441b2444acf9d55b2c56eb42d9a812d11ddcd07ac8931,True,True
36242,58750003716598352816469,{[220 233 108 45] 0},46.7.190.111,False,68,True,[eth/66 eth/67 eth/68 nodedata/1],0x50b12be13e0e70ace792653ca02c69f7e26bdb924129120dbea8bd046d7a46b7,2024-01-24T11:32:00+08:00,36242,1,Nethermind/v1.25.1+e37c10db/linux-x64/dotnet8.0.1,9375b53e1f2b9acefc985efecbf5435f493fd5f14fb45f9242de9951e5041ec8,True,True
33286,58750003716598352816469,{[220 233 108 45] 0},54.227.62.120,False,68,True,[eth/67 eth/68 snap/1],0x771abac2dafbafe11a237d72e08096dd7b2443e1dec11298e3bb27843b53c154,2024-01-24T09:28:45+08:00,33286,1,Geth/v1.13.8-stable-b20b4a71/linux-amd64/go1.21.5,09c5b47a38ea6a233fd2126aed16037cc036fbc95290aa9d51a6533b53b5bcf4,True,True
58506,58750003716598352816469,{[220 233 108 45] 0},52.56.109.44,False,68,True,[eth/67 eth/68 les/2 les/3 les/4 snap/1],0xa80f43dbf40291b541d12672ab8c749b79a9858bc5e02a34d00e7229f0ae4977,2024-01-24T18:08:23+08:00,58506,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.4,aae037481954e78f28e5ca3da534c3dc80b3801b33bbf4d00d00a85a8487bbc3,True,True
2701,58750003716598352816469,{[220 233 108 45] 0},221.223.27.170,True,68,False,[eth/68],0x537b767cfabe0230e1fe9bb5768860857b1eca1222c3e1ae4a599402851131f1,2024-01-24T17:11:22+08:00,2701,1,erigon/v2.57.0-4f6eda76/linux-amd64/go1.20.5,2582720acbcd49d1094081b167d781998bcd515633be22c620d89d97434bbd8a,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},202.61.193.252,True,68,False,[eth/66 eth/67 eth/68],0x14564572ceb5aae0381a8246fee336b153649a76efd74966c494b3fed1f1360f,2024-01-24T12:23:42+08:00,30303,1,Nethermind/v1.18.2+22c00906/linux-x64/dotnet7.0.5,69636aed2408200c5221af9fef49a65967f9fe240f4cc31629d6dd856505e1ce,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},44.198.106.118,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x79e02c3417b1c14bd0d61f0f6437dc2787d2e5053623639ed8485ecf4daaba55,2024-01-24T05:17:57+08:00,30303,1,Geth/v1.11.7-unstable-fe3b231d-20230509/linux-amd64/go1.20.5,fbcae7ec1aad1099f74cdf19a9c9a43d793032679caf5e9b20d797185af444bf,True,True
30309,17179869184,{[252 100 236 4] 1150000},35.178.174.46,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:09:16+08:00,30309,1,Nodecrawler/v1.13.10-stable/linux-amd64/go1.21.5,637eb47cf364a43126493126b2cee0bfae847001763bc89c7873c79cd0c36322,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},15.204.162.53,True,68,False,[eth/67 eth/68 snap/1],0x4a899878ceded12dcaefcfce9dbafe58d38cc23c5ef6a27daf55dac12d56083f,2024-01-24T17:21:39+08:00,30303,1,Geth/v1.13.10-stable/linux-amd64/go1.20.2,e3e687687a8a69519dc4778ac76bae171d61eb52409264f7b00abf9acf383091,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},213.47.4.153,True,68,False,[eth/66 eth/67 eth/68 nodedata/1 snap/1],0x2f61b3ebc3ffaa4f1c7716a3195598736923c0a49e816056f2035830c7a9e66d,2024-01-24T17:49:17+08:00,30303,1,Nethermind/v1.25.3+e64bee70/linux-x64/dotnet8.0.1,431bb13cff9874358444c2cb6b0f7003f0ed0ebe0d262fcf689e6e274da254ea,True,True
30312,17179869184,{[252 100 236 4] 1150000},35.178.174.46,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:11:26+08:00,30312,1,Nodecrawler/v1.13.10-stable/linux-amd64/go1.21.5,96bb9a6ade810f6097fea72c97f327e4fc7bb99004e7735f2e0d9a7bc1be2018,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},209.226.107.227,True,68,False,[eth/66 eth/67 eth/68],0x039af22458c11cadda1a084125c7711cd27e363461c15798e48b6af3658bcbab,2024-01-24T04:17:23+08:00,30303,1,Nethermind/v1.20.3+e8c161a5/linux-x64/dotnet7.0.10,d6319e80b53b25cc9b025df171297345e42511d18b9079b25e732c0a4839bcc3,True,True
30304,17179869184,{[252 100 236 4] 1150000},51.81.221.6,True,68,False,[eth/67 eth/68],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T17:11:19+08:00,30304,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.0,5364712608741ff83ce3aaa20e3d4f69d82d031b657a3426104e5bee9be76559,True,True
30303,58750003716598352816469,{[252 100 236 4] 1150000},3.231.230.114,True,68,False,[eth/67 eth/68 snap/1],0xe133295ce69fda2b559e507f0c7adbb418eb2f10b95c5ecca0c579b9bd64df2e,2024-01-24T08:06:58+08:00,30303,1,Geth/v1.13.4-stable-3f907d6a/linux-amd64/go1.21.3,5c9cea44ee17456b218203cb298331687bca8c965176811ecb6bc37132b87f77,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},34.226.219.50,True,68,False,[eth/67 eth/68 snap/1],0xb9423aa0406eae9d3fe0ddd75579ddf55622cd91b30f8e84b3e92955af56d928,2024-01-24T16:11:16+08:00,30303,1,Geth/v1.13.5-stable/linux-amd64/go1.21.4,f808dd5049c840e58cb52519f8c1c99cdd60e04c79487386d55aa92a51514da6,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},126.59.14.78,True,68,False,[eth/67 eth/68 snap/1],0x5d75f765302fd67edca6c95e83501a9a8734afb178b62f9826a5e44ac199140f,2024-01-24T14:51:53+08:00,30303,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.6,4a3d06364f9f3932794867b353cb49a361aacb0c537b93770bd55488d49fa17d,True,True
51177,43588808655741294580,{[151 194 195 76] 2500000},47.154.143.243,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x14982f1d3b55f4e3a129b9143a16fd17bbaed13b1678a5de231b89c839e9a980,2024-01-24T05:01:37+08:00,51177,1,CoreGeth/ETCMCgethNode/v1.12.17-stable-b61f3122/windows-amd64/go1.20.7,c859bcc8a4452cd0f598390d82b5be62f3a0e1607bce5139599576310fb6007e,True,True
30304,58750003716598352816469,{[220 233 108 45] 0},110.141.27.159,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x3d12a915bb073d1d5dd04d25dc05b853c2ee936a9698b828ec256e1482959093,2024-01-24T05:23:16+08:00,30304,1,Geth/v1.11.5-stable-ffeb673d/linux-amd64/go1.20.3,d39ba1cfb4c3fe34f8677c1b948dbe36998936cde682d936c2909a13f78b384f,True,True
30000,0,{[220 233 108 45] 0},198.244.253.41,True,68,False,[eth/67 eth/68],0x856e8825ac191daa2b7a44e852fde3fb94f4f6b86624804f5ceeb23cb0a52144,2024-01-24T17:32:04+08:00,30000,1,Geth/v1.13.4-stable-ff3ef6df/linux-amd64/go1.21.4,b5d0548fd6d3a1cdec2101885ab73a5ed31125e9c42f027329169b06e421e069,True,True
38132,58750003716598352816469,{[220 233 108 45] 0},136.243.5.235,False,68,True,[eth/68],0xdf49b24474e8f0f666fdc323ea5c1bbd1a1ad8f45df10009a1f1699360465978,2024-01-24T08:09:55+08:00,38132,1,erigon/v2.43.0-stable-7e8beecf/linux-amd64/go1.20.4,8db552359deedb868715e2a76a1ee6bf08d964f85cf6fe389c2a1de7e88ca71e,True,True
40440,30679155544486525809,{[151 194 195 76] 2500000},206.204.158.248,False,68,True,[eth/66 eth/67 eth/68 snap/1],0xd6f23338b36b3ecf96dff7c52f52757c7c845f62b4ec3372a22b08b23439eb63,2024-01-24T06:37:23+08:00,40440,1,CoreGeth/ETCMCgethNode/v1.12.17-stable-b61f3122/windows-amd64/go1.20.7,b80b52dfcfb1711635ea649f902321a2cf9076cb4b9a308893fdcb61aafc56b8,True,True
30314,17179869184,{[252 100 236 4] 1150000},35.178.174.46,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:11:19+08:00,30314,1,Nodecrawler/v1.13.10-stable/linux-amd64/go1.21.5,b62b1069604e7e4ddb12d6876de3d2738db20a5ccf93f571989e57d8525e6ebb,True,True
30303,17179869184,{[252 100 236 4] 1150000},35.178.174.46,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:11:21+08:00,30303,1,Nodecrawler/v1.13.10-stable/linux-amd64/go1.21.5,0285b333353ad988cba92d60b7e2acf0afdc1b66c6910d4a4f13ee5a3d54de0a,True,True
44282,58750003716598352816469,{[220 233 108 45] 0},202.125.16.213,False,68,True,[eth/67 eth/68 snap/1],0x1508d02a596bfc4757d7ee2f77ef53c8e84d2e327b3cbc628d22ab5bf5819375,2024-01-24T16:19:54+08:00,44282,1,Geth/v1.13.8-stable-b20b4a71/linux-amd64/go1.21.5,28019d030a9e65ab02f70a260e0741c435f50333cb946c7c3b907bbd1ef014a3,True,True
61251,58750003716598352816469,{[220 233 108 45] 0},194.15.111.64,False,68,True,[eth/67 eth/68 snap/1],0xb9551a72fb9dd9d8c6eeca04121a405aeb5a162c3791300aa1e97de530d844af,2024-01-24T16:54:59+08:00,61251,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.6,ee8a23d26f74f293a56719486f45e89bc636f0ed22e548351871de431571f35c,True,True
60218,24963519415527121435,{[151 194 195 76] 2500000},140.186.219.127,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x6c187f7fc9c4ed18a5a9b43be925bf5c51830e5943155b9305c07e6eb0d2a2e3,2024-01-24T05:29:34+08:00,60218,1,CoreGeth/ETCMCgethNode/v1.12.17-stable-b61f3122/windows-amd64/go1.20.7,cb18d44a8ae116ca43c036788a14943ac7ba0f14cf2cf3662574cf47de9776d1,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},3.72.27.246,True,68,False,[eth/67 eth/68 les/2 les/3 les/4 snap/1],0x14b7eb1d4d4f9beba97261f988efa11c4b2042a44ca2d3d891685160d81667cb,2024-01-24T17:29:55+08:00,30303,1,Geth/v1.13.5-stable-916d6a44/linux-amd64/go1.21.4,50fbb6b9e15d708927703e9efd65b82b74f4ddf2ec61d4339d387a57b826dabc,True,True
49978,58750003716598352816469,{[220 233 108 45] 0},82.65.186.186,False,68,True,[eth/66 eth/67 eth/68 snap/1],0x4ec7dbdf384661c85268b20ba07dd979f2283b4e21749e2452205cf998015a9b,2024-01-24T17:03:39+08:00,49978,1,Nethermind/v1.22.0+ae444a4b/linux-x64/dotnet7.0.13,ca846720bbc1059fc7a0212c5c746dae2b3d0f68ddeffe5bbeb4811d9bfcb1ed,True,True
30000,0,{[220 233 108 45] 0},89.187.161.243,True,68,False,[eth/67 eth/68],0x3af7143cf2c9db7ba1ec344739360b253cb1025db172a7cd8d79d0d62945e919,2024-01-24T17:41:20+08:00,30000,1,Geth/v1.13.4-stable-ff3ef6df/linux-amd64/go1.21.4,3d9276f6ccb4454bd946583d4e2b04a5b46e89671503995e694ca287ef45cf2a,True,True
43332,58750003716598352816469,{[220 233 108 45] 0},206.255.243.129,False,68,True,[eth/66 eth/67 eth/68],0x50b12be13e0e70ace792653ca02c69f7e26bdb924129120dbea8bd046d7a46b7,2024-01-24T04:19:44+08:00,43332,1,Nethermind/v1.24.0+9c1d76b5/linux-x64/dotnet7.0.14,50519d55190789a728b865fe4edc8fff6417660423c97179b3fc06bf4e94514c,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},193.111.199.207,True,68,False,[eth/67 eth/68 snap/1],0x2ca5725b7b5174d8927cf4c552c97d39a366fa3add89f56dc32daddb388ac6cb,2024-01-24T17:32:08+08:00,30303,1,Geth/v1.13.10-stable-bc0be1b1/linux-amd64/go1.21.5,942c543ed7e2691e536da1796402e4013b7f3b6c4f6b33e92440e177d4423bb4,True,True
30315,17179869184,{[252 100 236 4] 1150000},35.178.174.46,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T17:41:28+08:00,30315,1,Nodecrawler/v1.13.10-stable/linux-amd64/go1.21.5,c76418e233f150f909022488647cd856a37bb7a72567a7572308e0bd92805457,True,True
30317,17179869184,{[252 100 236 4] 1150000},49.13.11.197,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:13:02+08:00,30317,1,Nodecrawler/v1.13.10-stable/linux-arm64/go1.21.5,e4cf6d87a75b2e4012d2ec36f77046c6fbfce125151a1046a998f5f7d3ac9e33,True,True
52406,17179869184,{[252 100 236 4] 1150000},3.71.80.53,False,68,True,[eth/66 eth/67 eth/68],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T17:01:36+08:00,52406,1,Geth/v1.10.21-stable-67109427/linux-amd64/go1.18.4,551c0f53439b97a748edf0dec39cf4a2ac6319f18eae37301e78f0e6bf75153c,True,True
30303,58750003716598352816469,{[220 233 108 45] 0},23.252.59.202,True,68,False,[eth/66 eth/67 eth/68],0x50b12be13e0e70ace792653ca02c69f7e26bdb924129120dbea8bd046d7a46b7,2024-01-24T17:53:12+08:00,30303,1,Nethermind/v1.24.0+9c1d76b5/linux-x64/dotnet7.0.14,312395b8e032dbe993ac98129575356c617964956a3a75a43ba01f2d824a2c06,True,True
30315,17179869184,{[252 100 236 4] 1150000},49.13.11.197,True,68,False,[eth/66 eth/67 eth/68 snap/1],0xd4e56740f876aef8c010b86a40d5f56745a118d0906a34e69aec8c0db1cb8fa3,2024-01-24T18:12:47+08:00,30315,1,Nodecrawler/v1.13.10-stable/linux-arm64/go1.21.5,c2150da01147718d598bb077e128e3a6b9776864f96ee97f308d4e2a0022f77c,True,True
34576,58750003716598352816469,{[220 233 108 45] 0},54.154.29.198,False,68,True,[eth/67 eth/68 snap/1],0x340a6fd491cdf5c5b30b8b7134dedd3d71e1cbc0f2231803374cf3be92756225,2024-01-24T16:35:27+08:00,34576,1,Geth/v1.13.5-stable/linux-amd64/go1.21.4,65ba2c3d0d80de7a95ea399a2c1ca98756c9ce57a4cc4aa8869d844d03e13972,True,True
41262,58750003716598352816469,{[220 233 108 45] 0},68.133.69.211,False,68,True,[eth/67 eth/68 snap/1],0x19576c4bc678f1a614b6614064ded56070c769e71baccc13b01a6f50c975eb9c,2024-01-24T06:29:37+08:00,41262,1,Geth/v1.13.8-stable-b20b4a71/linux-amd64/go1.21.5,e71dfb052f57b5ae483acde592643361077a5e95f8803b941408f8c0aea7d795,True,True
34476,0,{[220 233 108 45] 0},143.244.60.110,False,68,True,[eth/67 eth/68],0x410ee77f11c89334144c3a8044417ce619f3fbb1a7e0ab3eb69245aca5b1ec3a,2024-01-24T17:14:49+08:00,34476,1,Geth/v1.13.4-stable-ff3ef6df/linux-amd64/go1.21.4,faddc987160bf5ce8370a81e189b30e1609615f4c7e3a8e40d3c601c6eb88d1c,True,True
56200,58750003716598352816469,{[220 233 108 45] 0},132.145.147.147,False,68,True,[eth/67 eth/68 snap/1],0xe1156398df41a29b0a028c9189e9fdfeda474e4a66d91c7fb66b4aaf7508d47c,2024-01-24T11:32:22+08:00,56200,1,Geth/v1.13.8-stable-b20b4a71/linux-amd64/go1.21.3,dd29d3bd3a8a53b32396c4ce8f24e39a9fc3e740fde816bfbef77cafcdc898ff,True,True
43664,58750003716598352816469,{[220 233 108 45] 0},71.191.141.125,False,68,True,[eth/66 eth/67 eth/68],0x82ae76cd067bf7b95ecd7725260531edb6cb1f967a2f3054458f2375abb29a31,2024-01-24T06:24:46+08:00,43664,1,Nethermind/v1.23.0+bcd3b8ae/linux-x64/dotnet7.0.14,bc4af4ca4ae285b1b7ad1d444eec7ca5e67d78db753ab0ef4db360fcf3ed6e09,True,True
30303,58750003716598352816469,{[252 100 236 4] 1150000},13.51.167.138,True,68,False,[eth/66 eth/67 eth/68 snap/1],0x0b507dfcf351c864a4b4e1636a1cea94896ac501757eb93f6c4a1a703fefb223,2024-01-24T18:11:28+08:00,30303,1,erigon/2.48.0/linux-amd64/go1.19.12,895b8b6a20f800087d2cdffcfb40408ab932416b7c28258cadf5cb2c8ad430c2,True,True
